vname min2keep max2keep mean
sex NA NA NA
age -99999 99999 0
address NA NA NA
famsize NA NA NA
Pstatus NA NA NA
Medu -99999 99999 0
Fedu -99999 99999 0
Mjob NA NA NA
Fjob NA NA NA
reason NA NA NA
nursery NA NA NA
internet NA NA NA
guardian.x NA NA NA
traveltime.x -99999 99999 0
studytime.x -99999 99999 0
failures.x -99999 99999 0
schoolsup.x NA NA NA
famsup.x NA NA NA
paid.x NA NA NA
activities.x NA NA NA
higher.x NA NA NA
romantic.x NA NA NA
famrel.x -99999 99999 0
freetime.x -99999 99999 0
goout.x -99999 99999 0
Dalc.x -99999 99999 0
Walc.x -99999 99999 0
health.x -99999 99999 0
absences.x -99999 99999 0
G1.x -99999 99999 0
G2.x -99999 99999 0
G3.x -99999 99999 0
guardian.y NA NA NA
traveltime.y -99999 99999 0
studytime.y -99999 99999 0
failures.y -99999 99999 0
schoolsup.y NA NA NA
famsup.y NA NA NA
paid.y NA NA NA
activities.y NA NA NA
higher.y NA NA NA
romantic.y NA NA NA
famrel.y -99999 99999 0
freetime.y -99999 99999 0
goout.y -99999 99999 0
Dalc.y -99999 99999 0
Walc.y -99999 99999 0
health.y -99999 99999 0
absences.y -99999 99999 0
G1.y -99999 99999 0
G2.y -99999 99999 0
G3.y -99999 99999 0
